fixture_date,season,division,home_team,away_team,home_score,away_score,URLs,fixtureID
2024-02-12,23,2,Moulsecoomb Club B,Champion House B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505776.html,NA
2024-02-12,23,2,Southwick Sports A,Moulsecoomb Club A,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505775.html,NA
2024-02-12,23,2,Southwick Sports B,Preston Club,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505774.html,NA
2024-02-19,23,2,Champion House B,Hove Deep Sea Anglers,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505782.html,NA
2024-02-19,23,2,Moulsecoomb Club A,Southwick Sports C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505783.html,NA
2024-02-19,23,2,Moulsecoomb Club C,Portslade Legion,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505781.html,NA
2024-02-19,23,2,Preston Club,Moulsecoomb Club B,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505780.html,NA
2024-02-19,23,2,Southwick Sports A,Champion House  A,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505779.html,NA
2024-02-26,23,2,Champion House  A,Moulsecoomb Club A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505788.html,NA
2024-02-26,23,2,Hove Deep Sea Anglers,Preston Club,0,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505786.html,NA
2024-02-26,23,2,Portslade Legion,Southwick Sports A,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505787.html,NA
2024-02-26,23,2,Southwick Sports B,Moulsecoomb Club C,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505785.html,NA
2024-02-26,23,2,Southwick Sports C,Champion House B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505784.html,NA
2024-03-04,23,2,Champion House  A,Portslade Legion,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505792.html,NA
2024-03-04,23,2,Moulsecoomb Club A,Champion House B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505793.html,NA
2024-03-04,23,2,Moulsecoomb Club C,Moulsecoomb Club B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505791.html,NA
2024-03-04,23,2,Preston Club,Southwick Sports C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505790.html,NA
2024-03-04,23,2,Southwick Sports A,Southwick Sports B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505789.html,NA
2024-03-11,23,2,Champion House B,Preston Club,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505796.html,NA
2024-03-11,23,2,Hove Deep Sea Anglers,Moulsecoomb Club C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505798.html,NA
2024-03-11,23,2,Moulsecoomb Club B,Southwick Sports A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505795.html,NA
2024-03-11,23,2,Portslade Legion,Moulsecoomb Club A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505794.html,NA
2024-03-11,23,2,Southwick Sports B,Champion House  A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505797.html,NA
2024-03-18,23,2,Champion House  A,Moulsecoomb Club B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505800.html,NA
2024-03-18,23,2,Moulsecoomb Club A,Preston Club,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505802.html,NA
2024-03-18,23,2,Moulsecoomb Club C,Southwick Sports C,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505801.html,NA
2024-03-18,23,2,Portslade Legion,Southwick Sports B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505799.html,NA
2024-03-18,23,2,Southwick Sports A,Hove Deep Sea Anglers,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505803.html,NA
2024-03-25,23,2,Champion House B,Moulsecoomb Club C,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505805.html,NA
2024-03-25,23,2,Hove Deep Sea Anglers,Champion House  A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505804.html,NA
